APOGEE_ID,LOGG,TEFF,MG_FE,FE_H,C_FE,N_FE,LOGG_ERR,TEFF_ERR,MG_FE_ERR,FE_H_ERR,C_FE_ERR,N_FE_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68U,distKpc_68L,distErrKpc,logDistKpc,logDistKpcErr,LOGG_NORM,LOGG_ERR_NORM,TEFF_NORM,TEFF_ERR_NORM,MG_FE_NORM,MG_FE_ERR_NORM,FE_H_NORM,FE_H_ERR_NORM,C_FE_NORM,C_FE_ERR_NORM,N_FE_NORM,N_FE_ERR_NORM,C_N,C_N_ERR,C_N_NORM,C_N_ERR_NORM,train_weight
2M19390009+3901414,2.6257216930389404,4589.51513671875,0.0500530004501342,0.2335399985313415,0.0273405909538269,0.396079957485199,0.0207035820931196,7.477180957794189,0.0099569372832775,0.0077423714101314,0.0097725447267293,0.0122922984883189,4.8762,6.4017,3.6728,1.36445,0.6880815101364743,0.1206490191896055,1.5497099,1.5757415,1.5214232,0.02715915,0.1902504074472029,0.0076174693107127,-0.13212521196453542,0.06263155699463403,-0.6925009571806052,0.03974874163270447,-0.48931152346074536,0.10691913954632469,1.3494102814672373,0.03224614398275827,0.5967607407833206,0.11734456010635586,1.5745200388116547,0.11910567878705254,-0.36873936653137207,0.015703605718491907,-0.6987358121453312,0.09727579567916694,0.5981471024435844
2M19363005+4614500,2.464895248413086,4614.21337890625,0.3074529767036438,-0.4688499867916107,0.1333399713039398,0.09163498878479,0.0281917322427034,8.826153755187988,0.0143502485007047,0.009223929606378,0.0164457615464925,0.0192813612520694,10.1273,12.7312,7.9195,2.40585,1.0054936752321704,0.1030857887869647,2.225449,2.2572651,2.1902822,0.0334914499999999,0.347417646125903,0.0065412465876388,-0.618650229110049,0.08528437623956535,-0.5612049442802416,0.04691988962227659,2.2746894135031406,0.15409519798303234,-1.575968442825581,0.03841667448100941,1.8695562108014179,0.1974737090748586,-1.3753859274991478,0.18682589119101128,0.041704982519149794,0.025342335420732137,1.8437567434905826,0.15698279023378328,0.4355048566106097
2M19093153+4421452,2.8124234676361084,4951.60107421875,0.0467240065336227,-0.2509900033473968,-0.0699450075626373,0.1921900063753128,0.0243871808052063,9.754380226135254,0.0118293948471546,0.0072125243023037,0.0154943708330392,0.0187534037977457,2.5049,3.1665,2.0184,0.57405,0.3987903927521393,0.0977861274269097,0.9410754,0.9539017,0.9263175,0.0137921,-0.0263755790253621,0.0063718769715196,0.43267670415257486,0.07377501621071288,1.2323501945787254,0.05185434745853637,-0.5250587773584015,0.1270258797889274,-0.6686050496111204,0.03003938778071111,-0.5714033435798679,0.1860498140831993,-0.4010625625935202,0.18171027094898212,-0.26213501393795013,0.024326234429377654,-0.03837643944557738,0.15068856493315658,2.0616985233161844
2M19081825+4015596,2.8682858943939213,4627.47509765625,0.0784719884395599,0.3026899993419647,0.0003849864006042,0.3418799936771393,0.0183302517980337,6.6164984703063965,0.0085327858105301,0.0066110333427786,0.0082724830135703,0.0106446929275989,4.691,5.8559,3.7584,1.04875,0.6712654329471583,0.0962953261612878,1.5374012,1.560398,1.5153048999999998,0.0225465499999999,0.1867872157167108,0.0063676786969308,0.6016692364401768,0.05545186359784917,-0.4907055628723519,0.03517334804305433,-0.18414401500310998,0.09162637976310138,1.637412595542398,0.02753424264393904,0.2730893074823002,0.09933245713980934,1.0493519031918457,0.103141278079621,-0.3414950072765351,0.013481226306708272,-0.5299709582772442,0.08350929329381455,0.5981471024435844
2M19433759+4337360,2.838371753692627,4605.8994140625,0.0324179828166961,0.3031800091266632,0.0370489656925201,0.2986099421977997,0.022149309515953,8.561275482177733,0.0108675109222531,0.008637148886919,0.0108107356354594,0.0134657314047217,6.5939999999999985,7.8623,5.0699,1.3962000000000003,0.8191489428071342,0.0952751088968242,1.5189042,1.5407768999999998,1.497959,0.02140895,0.1815303829981368,0.006119916030296,0.5111743066327759,0.06700510738193573,-0.6054020343845177,0.04551179503456614,-0.6786790827420681,0.11669702075647831,1.6394534335793942,0.03597279591155439,0.71333477496949,0.12981071492047916,0.6300886663370862,0.13047560477380266,-0.2615609765052796,0.017268408358731273,-0.03482057151220855,0.10696894670695291,0.4981996431663787
2M19280046+4213570,3.04963493347168,5102.46337890625,-0.048846997320652,-0.0633850023150444,-0.1567200124263763,0.3007200062274933,0.022585105150938,10.446136474609377,0.0107116308063268,0.0065677701495587,0.0146844116970896,0.0181557368487119,1.0936,1.1347,0.9795,0.0776,0.0388585015597658,0.0319383072660083,1.1498178999999995,1.1600624,1.1391735,0.0104444499999999,0.0606290653211885,0.0039457385013484,1.1502782948067196,0.06832345698094769,2.034335167924456,0.05553172808481968,-1.551315065508283,0.11502315585273802,0.1127495967519477,0.027354056098522577,-1.6133606902790905,0.17632416931309447,0.6505340377848772,0.17591920366234706,-0.4574400186538696,0.023350861384739043,-1.2481909288333706,0.14464662840583373,2.422495764896517
2M19244938+4930107,2.666428327560425,4630.19921875,0.093980997800827,0.026205999776721,0.0198710989207029,0.2317960113286972,0.0248216278851032,9.130855560302734,0.0123963309451937,0.0091183371841907,0.0131074506789445,0.01597879268229,9.9983,10.9345,6.5313,2.2016,0.99992616366181,0.1118996481988863,2.0234685000000003,2.0607527,1.983809,0.03847185,0.3060964479750961,0.0082630106617116,-0.008981309202927543,0.07508928622076867,-0.4762241177738756,0.0485396863604978,-0.01760586286394688,0.13311372769391475,0.48588648207758134,0.03797689340245197,0.5070702577663945,0.15738869220312784,-0.01730194138024907,0.1548258001081144,-0.2119249124079943,0.02066705298015581,0.27264942716203555,0.12802180970583,0.4355048566106097
2M19431934+3853069,2.589855432510376,4600.265625,0.2203729897737503,-0.1278000026941299,0.0679959952831268,0.1946600079536438,0.0224170312285423,7.224395751953125,0.0108519773930311,0.0075804833322763,0.0112778386101126,0.0139490598812699,12.611,15.6275,9.8855,2.8710000000000004,1.1007495256898598,0.0994454335660498,1.4672628,1.4910219999999998,1.4485048,0.0212586,0.1665079068686035,0.0062820564080293,-0.24062623030887825,0.06781500721595092,-0.6353512929516837,0.03840493386714912,1.3396109843273072,0.11653021930626495,-0.1555319499270648,0.03157189755474831,1.084933542276796,0.13541948874733423,-0.3771295922973817,0.13515879452314777,-0.126664012670517,0.01793783474355252,0.8007970393068261,0.11111570035063575,0.6292196791939003
2M19261844+4708218,2.614094495773315,4671.28515625,0.0821181982755661,-0.2237699925899505,0.0350240021944046,0.1468899995088577,0.0235411282628774,7.808564186096191,0.0114681059494614,0.0076594054698944,0.0126231284812092,0.01545852702111,7.8393,9.5029,6.5313,1.4858000000000002,0.8942772846602238,0.0814282633210524,1.9755796,2.0021099,1.9515064,0.0253017499999999,0.295694532951561,0.0055589666170018,-0.16729929270836402,0.07121557563724142,-0.2578110121337625,0.04151037698666194,-0.14499044727642812,0.12314630347243564,-0.5552366331917968,0.03190059976731978,0.6890198746479934,0.15157315727008763,-0.8399949617713053,0.14978470915321085,-0.1118659973144531,0.019957691006614542,0.8924631664395626,0.12362767554086462,0.4981996431663787
2M19402664+4355573,2.8127920627593994,5093.37548828125,-0.0010639950633049,-0.0984179973602294,-0.3136780261993408,0.4713420271873474,0.0228657089173793,10.446176528930664,0.0108779119327664,0.006637651938945,0.0149391731247305,0.0184001177549362,0.5485,0.6681,0.4537,0.1072,-0.26082336808927,0.0840363462438419,1.4866143,1.5014188,1.4718381,0.0147903499999999,0.1721983060407377,0.0043209043480488,0.43379176174833345,0.06917232703211713,1.986023883433895,0.05553194101384696,-1.038213763275921,0.11680870842336377,-0.03315905868868813,0.027645106233288093,-3.4980457540352643,0.1793832361676899,2.3037685115290456,0.17828712157014112,-0.7850200533866882,0.02370112290686221,-3.2773814917192223,0.1468163191680136,10.137732930691612
